;title;link;images
0;Buldak Ramen Tomato Past..;https://www.samyangfoods.com/upload/product/20220322/20220322165710960754.png;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20220322165710960754.png
1;Buldak Ramen Light;https://www.samyangfoods.com/upload/product/20220322/20220322165805332758.png;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20220322165805332758.png
2;Buldak Ramen Kimchi Big ..;https://www.samyangfoods.com/upload/product/20220322/20220322165824021762.png;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20220322165824021762.png
3;3X Spicy Buldak Ramen;https://www.samyangfoods.com/upload/product/20211119/20211119161838703392.jpg;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20211119161838703392.jpg
4;Buldak Ramen Kimchi;https://www.samyangfoods.com/upload/product/20211119/20211119161903820396.jpg;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20211119161903820396.jpg
5;Buldak Ramen Corn;https://www.samyangfoods.com/upload/product/20211119/20211119161928926400.jpg;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20211119161928926400.jpg
6;Buldak Ramen Jjajang Big..;https://www.samyangfoods.com/upload/product/20211119/20211119161948935404.jpg;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20211119161948935404.jpg
7;Buldak Ramen Carbonara B..;https://www.samyangfoods.com/upload/product/20211119/20211119162929271408.jpg;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20211119162929271408.jpg
8;Buldak Ramen Jjajang;https://www.samyangfoods.com/upload/product/20211119/20211119162956076412.jpg;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20211119162956076412.jpg
9;Korean Jjajang;https://www.samyangfoods.com/upload/product/20211119/20211119163023767416.jpg;/Users/Sam/Python_razr/website_parser_bot_01/images/ramen/20211119163023767416.jpg
